episodeTitle,episodeNum,seasonNum,episodeId
Winter Is Coming,1,1,1
The Kingsroad,2,1,2
Lord Snow,3,1,3
"Cripples, Bastards, and Broken Things",4,1,4
The Wolf and the Lion,5,1,5
A Golden Crown,6,1,6
You Win or You Die,7,1,7
The Pointy End,8,1,8
Baelor,9,1,9
Fire and Blood,10,1,10
The North Remembers,1,2,11
The Night Lands,2,2,12
What Is Dead May Never Die,3,2,13
Garden of Bones,4,2,14
The Ghost of Harrenhal,5,2,15
The Old Gods and the New,6,2,16
A Man Without Honor,7,2,17
The Prince of Winterfell,8,2,18
Blackwater,9,2,19
Valar Morghulis,10,2,20
Valar Dohaeris,1,3,21
"Dark Wings, Dark Words",2,3,22
Walk of Punishment,3,3,23
And Now His Watch Is Ended,4,3,24
Kissed by Fire,5,3,25
The Climb,6,3,26
The Bear and the Maiden Fair,7,3,27
Second Sons,8,3,28
The Rains of Castamere,9,3,29
Mhysa,10,3,30
Two Swords,1,4,31
The Lion and the Rose,2,4,32
Breaker of Chains,3,4,33
Oathkeeper,4,4,34
First of His Name,5,4,35
The Laws of Gods and Men,6,4,36
Mockingbird,7,4,37
The Mountain and the Viper,8,4,38
The Watchers on the Wall,9,4,39
The Children,10,4,40
The Wars to Come,1,5,41
The House of Black and White,2,5,42
High Sparrow,3,5,43
Sons of the Harpy,4,5,44
Kill the Boy,5,5,45
"Unbowed, Unbent, Unbroken",6,5,46
The Gift,7,5,47
Hardhome,8,5,48
The Dance of Dragons,9,5,49
Mother's Mercy,10,5,50
The Red Woman,1,6,51
Home,2,6,52
Oathbreaker,3,6,53
Book of the Stranger,4,6,54
The Door,5,6,55
Blood of My Blood,6,6,56
The Broken Man,7,6,57
No One,8,6,58
Battle of the Bastards,9,6,59
The Winds of Winter,10,6,60
Dragonstone,1,7,61
Stormborn,2,7,62
The Queen's Justice,3,7,63
The Spoils of War,4,7,64
Eastwatch,5,7,65
Beyond the Wall,6,7,66
The Dragon and the Wolf,7,7,67
Winterfell,1,8,68
A Knight of the Seven Kingdoms,2,8,69
The Long Night,3,8,70
The Last of the Starks,4,8,71
The Bells,5,8,72
The Iron Throne,6,8,73
